protein_id,family
LUZY01000003.1_92,PF11756.11
LUZY01000003.1_110,PF01475.22
LUZY01000003.1_163,PF01039.25
LUZY01000003.1_179,PF00581.23
LUZY01000003.1_253,PF10707.12
LUZY01000005.1_7,PF00581.23
LUZY01000005.1_9,PF02635.18
LUZY01000005.1_84,PF01765.22
LUZY01000006.1_66,PF02525.20
LUZY01000008.1_109,PF02597.23
LUZY01000008.1_169,PF02416.19
LUZY01000008.1_204,PF01258.20
LUZY01000008.1_249,PF01694.25
LUZY01000008.1_256,PF01502.21
LUZY01000008.1_294,PF06050.16
LUZY01000009.1_5,PF03547.21
LUZY01000009.1_64,PF01381.25
LUZY01000009.1_103,PF01245.23
LUZY01000009.1_195,PF03618.17
LUZY01000010.1_83,PF02878.19
LUZY01000010.1_173,PF00202.24
LUZY01000010.1_175,PF01184.22
LUZY01000010.1_208,PF00698.24
LUZY01000013.1_173,PF00348.20
LUZY01000013.1_199,PF06035.14
LUZY01000013.1_278,PF00216.24
LUZY01000013.1_284,PF02811.22
LUZY01000013.1_332,PF02674.19
LUZY01000013.1_416,PF01895.22
LUZY01000013.1_553,PF00072.27
LUZY01000013.1_589,PF02900.21
CAJUJZ010000001.1_52,PF13387.9
CAJUJZ010000002.1_21,PF13406.9
CAJUJZ010000002.1_36,PF13180.9
CAJUJZ010000003.1_45,PF00145.20
CAJUJZ010000006.1_17,PF02673.21
CAJUJZ010000008.1_25,PF05866.14
CAJUJZ010000008.1_44,PF02470.23
CAJUJZ010000011.1_10,PF03030.19
CAJUJZ010000011.1_11,PF02416.19
CAJUJZ010000011.1_22,PF04468.15
CAJUJZ010000014.1_5,PF00231.22
CAJUJZ010000014.1_27,PF05437.15
CAJUJZ010000020.1_12,PF02511.18
CAJUJZ010000021.1_19,PF04002.18
CAJUJZ010000023.1_18,PF01464.23
CAJUJZ010000031.1_10,PF14110.9
CAJUJZ010000032.1_19,PF02405.19
CAJUJZ010000034.1_9,PF00573.25
CAJUJZ010000037.1_15,PF02277.20
CAJUJZ010000038.1_9,PF01578.23
CAJUJZ010000039.1_12,PF00202.24
CAJUJZ010000043.1_1,PF04055.24
CAJUJZ010000043.1_8,PF02472.19
CAJUJZ010000044.1_14,PF03548.18
CAJUJZ010000049.1_1,PF11185.11
CAJUJZ010000051.1_4,PF00528.25
CAJUJZ010000060.1_5,PF02472.19
CAJUJZ010000068.1_9,PF01098.22
CAJUJZ010000073.1_6,PF01066.24
CAJUJZ010000074.1_2,PF19807.2
CAJUJZ010000076.1_2,PF01075.20
CAJUJZ010000078.1_5,PF00581.23
CAJUJZ010000086.1_4,PF00701.25
CAJUJZ010000093.1_5,PF02348.22
CAJUJZ010000095.1_1,PF19875.2
CAJUJZ010000100.1_10,PF00694.22
CAJUJZ010000101.1_7,PF00590.23
CAJUJZ010000111.1_4,PF00005.30
CAJUJZ010000114.1_5,PF00581.23
CAJUJZ010000120.1_3,PF00344.23
CAJUJZ010000124.1_2,PF04166.15
CAJUJZ010000146.1_1,PF13304.9
CAJUJZ010000147.1_8,PF13333.9
CAJUJZ010000157.1_5,PF14715.9
CAJUJZ010000185.1_4,PF00313.25
CAJUJZ010000218.1_1,PF01553.24
NZ_CP021081.1_85,PF00082.25
NZ_CP021081.1_241,PF00795.25
NZ_CP021081.1_258,PF01520.21
NZ_CP021081.1_304,PF04961.15
NZ_CP021081.1_460,PF01384.23
NZ_CP021081.1_492,PF00730.28
NZ_CP021081.1_664,PF04228.16
NZ_CP021081.1_681,PF02585.20
NZ_CP021081.1_791,PF00294.27
NZ_CP021081.1_913,PF00561.23
NZ_CP021081.1_973,PF02308.19
NZ_CP021081.1_1222,PF02416.19
NZ_CP021081.1_1418,PF03588.17
NZ_CP021081.1_1427,PF02645.19
NZ_CP021081.1_1432,PF00496.25
NZ_CP021081.1_1471,PF01746.24
NZ_CP021081.1_1517,PF05626.14
NZ_CP021081.1_1566,PF10079.12
NZ_CP021081.1_1646,PF00590.23
NZ_CP021081.1_1650,PF13302.10
NZ_CP021081.1_1652,PF00953.24
NZ_CP021081.1_1896,PF02628.18
NZ_CP021081.1_1911,PF00871.20
NZ_CP021081.1_1941,PF00528.25
NZ_CP021081.1_1985,PF02653.19
NZ_CP021081.1_2107,PF00893.22
NZ_CP021081.1_2123,PF00293.31
NZ_CP021081.1_2290,PF01883.22
NZ_CP021081.1_2325,PF00327.23
NZ_CP021081.1_2351,PF01809.21
NZ_CP021081.1_2431,PF01040.21
NZ_CP021081.1_2519,PF12728.10
NZ_CP021081.1_2530,PF00717.26
NZ_CP021082.1_126,PF03807.20
NZ_CP021082.1_166,PF12840.10
NZ_CP021082.1_352,PF02836.20
NZ_CP021082.1_372,PF12867.10
NZ_CP021083.1_33,PF03061.25
NZ_CP021083.1_55,PF05139.17
NZ_CP021083.1_132,PF01032.21
NZ_CP021083.1_232,PF00420.27
NZ_CP021083.1_250,PF02608.17
NZ_CP021084.1_80,PF02653.19
NZ_CP021084.1_108,PF14460.9
JAABRV010000105.1_3,PF00528.25
JAABRV010000109.1_6,PF03401.17
JAABRV010000128.1_3,PF00892.23
JAABRV010000131.1_3,PF06897.15
JAABRV010000139.1_1,PF13385.9
JAABRV010000144.1_4,PF13396.9
JAABRV010000014.1_10,PF00202.24
JAABRV010000015.1_18,PF00155.24
JAABRV010000159.1_3,PF00254.31
JAABRV010000016.1_20,PF00551.22
JAABRV010000172.1_3,PF12705.10
JAABRV010000017.1_14,PF02627.23
JAABRV010000178.1_2,PF03713.16
JAABRV010000018.1_6,PF00923.22
JAABRV010000022.1_10,PF01408.25
JAABRV010000220.1_6,PF01850.24
JAABRV010000002.1_17,PF01293.23
JAABRV010000031.1_14,PF04020.16
JAABRV010000031.1_18,PF00215.27
JAABRV010000036.1_20,PF02527.18
JAABRV010000037.1_1,PF05239.19
JAABRV010000037.1_12,PF05573.15
JAABRV010000038.1_13,PF02618.19
JAABRV010000003.1_10,PF00881.27
JAABRV010000045.1_2,PF01960.21
JAABRV010000048.1_13,PF01182.23
JAABRV010000004.1_40,PF02541.19
JAABRV010000004.1_47,PF01883.22
JAABRV010000051.1_4,PF01642.25
JAABRV010000005.1_31,PF02817.20
JAABRV010000060.1_2,PF02082.23
JAABRV010000067.1_11,PF07386.14
JAABRV010000075.1_11,PF00067.25
JAFGUZ010000119.1_3,PF02452.20
JAFGUZ010000121.1_1,PF00448.25
JAFGUZ010000016.1_4,PF01584.22
JAFGUZ010000131.1_36,PF00691.23
JAFGUZ010000139.1_5,PF01713.24
JAFGUZ010000148.1_10,PF01597.22
JAFGUZ010000151.1_26,PF01694.25
JAFGUZ010000166.1_4,PF01975.20
JAFGUZ010000167.1_41,PF07949.15
JAFGUZ010000169.1_36,PF04074.15
JAFGUZ010000173.1_2,PF00202.24
JAFGUZ010000182.1_24,PF12669.10
JAFGUZ010000182.1_25,PF03840.17
JAFGUZ010000184.1_3,PF03692.18
JAFGUZ010000186.1_11,PF13280.9
JAFGUZ010000190.1_33,PF00781.27
JAFGUZ010000204.1_23,PF00344.23
JAFGUZ010000204.1_24,PF00828.22
JAFGUZ010000205.1_24,PF12034.11
JAFGUZ010000210.1_64,PF01618.19
JAFGUZ010000032.1_80,PF17170.7
JAFGUZ010000224.1_11,PF06803.15
JAFGUZ010000224.1_36,PF01136.22
JAFGUZ010000233.1_18,PF01809.21
JAFGUZ010000233.1_25,PF00294.27
JAFGUZ010000242.1_4,PF20280.1
JAFGUZ010000034.1_3,PF00872.21
JAFGUZ010000037.1_4,PF02321.21
JAFGUZ010000039.1_22,PF11823.11
JAFGUZ010000049.1_10,PF00072.27
JAFGUZ010000051.1_2,PF01934.20
JAFGUZ010000059.1_6,PF03099.22
JAFGUZ010000059.1_11,PF00293.31
JAFGUZ010000067.1_2,PF00392.24
JAFGUZ010000069.1_8,PF05947.15
JAFGUZ010000070.1_10,PF02666.18
JAFGUZ010000071.1_1,PF00476.23
JAFGUZ010000072.1_11,PF00293.31
JAFGUZ010000072.1_27,PF01738.21
JAFGUZ010000009.1_46,PF19289.2
JAFGUZ010000076.1_13,PF02082.23
JAFGUZ010000076.1_18,PF00814.28
JAFGUZ010000083.1_17,PF00453.21
JAFGUZ010000083.1_77,PF00263.24
JAFGUZ010000089.1_17,PF00692.22
JAFGUZ010000093.1_5,PF01261.27
JAFGUZ010000094.1_25,PF04285.15
JAFGUZ010000106.1_33,PF00217.22
JAFGUZ010000110.1_4,PF01475.22
JAFGUZ010000112.1_29,PF00072.27
JAFGUZ010000112.1_30,PF00072.27
JAFGUZ010000112.1_54,PF04892.15
JAFGUZ010000112.1_67,PF17253.5
JAFGUZ010000112.1_68,PF02579.20
JAFGUZ010000014.1_19,PF09605.13
JAFGUZ010000116.1_3,PF02627.23
JADHUQ010000124.1_2,PF13779.9
JADHUQ010000130.1_4,PF02446.20
JADHUQ010000007.1_20,PF12705.10
JADHUQ010000151.1_3,PF01555.21
JADHUQ010000010.1_6,PF00072.27
JADHUQ010000022.1_18,PF02574.19
JADHUQ010000024.1_1,PF08668.15
JADHUQ010000026.1_3,PF00932.22
JADHUQ010000027.1_17,PF00180.23
JADHUQ010000028.1_6,PF01261.27
JADHUQ010000032.1_4,PF20157.2
JADHUQ010000036.1_6,PF13646.9
JADHUQ010000041.1_6,PF16119.8
JADHUQ010000052.1_2,PF03006.23
JADHUQ010000001.1_14,PF01863.20
JADHUQ010000001.1_15,PF01957.21
JADHUQ010000075.1_2,PF01025.22
JADHUQ010000084.1_2,PF00936.22
JADHUQ010000085.1_2,PF01904.21
JADHUQ010000090.1_6,PF05343.17
JADHUQ010000100.1_6,PF00082.25
JADHUQ010000102.1_2,PF00507.22
JADHUQ010000103.1_4,PF01739.21
JADHUQ010000104.1_1,PF02690.18
JADHUQ010000107.1_9,PF18962.3
JADHUQ010000004.1_9,PF14014.9
METK01000003.1_2,PF00231.22
METK01000003.1_4,PF02367.20
METK01000003.1_18,PF06185.15
METK01000003.1_63,PF00861.25
METK01000003.1_78,PF01385.22
METK01000005.1_26,PF20071.2
METK01000007.1_12,PF00375.21
METK01000007.1_25,PF02511.18
METK01000008.1_4,PF01636.26
METK01000008.1_10,PF07866.14
METK01000008.1_16,PF01343.21
METK01000008.1_57,PF13584.9
METK01000008.1_86,PF01165.23
METK01000008.1_92,PF00137.24
METK01000008.1_132,PF04608.16
METK01000008.1_141,PF02592.18
METK01000008.1_165,PF01145.28
METK01000008.1_166,PF01957.21
METK01000010.1_27,PF13103.9
METK01000010.1_29,PF01618.19
METK01000010.1_32,PF02482.22
METK01000010.1_38,PF03219.17
METK01000010.1_73,PF08486.13
METK01000011.1_3,PF00004.32
METK01000014.1_11,PF02666.18
METK01000015.1_10,PF04350.16
METK01000015.1_41,PF00294.27
METK01000015.1_43,PF00929.27
METK01000015.1_73,PF01250.20
METK01000016.1_3,PF00719.22
METK01000017.1_2,PF02350.22
METK01000017.1_6,PF05050.15
METK01000017.1_25,PF00334.22
METK01000017.1_31,PF01432.23
METK01000017.1_53,PF00213.21
METK01000017.1_55,PF13535.9
METK01000017.1_60,PF00210.27
METK01000017.1_65,PF00166.24
METK01000019.1_10,PF00814.28
METK01000019.1_30,PF00482.26
METK01000019.1_45,PF00691.23
METK01000019.1_53,PF00005.30
METK01000019.1_61,PF07963.15
METK01000019.1_67,PF09986.12
METK01000021.1_14,PF01098.22
METK01000021.1_19,PF01797.19
JAHIKO010000025.1_1,PF01522.24
JAHIKO010000005.1_3,PF02355.19
JAHIKO010000006.1_6,PF03279.16
JAHIKO010000034.1_2,PF02386.19
JAHIKO010000036.1_1,PF01261.27
JAHIKO010000036.1_6,PF00834.22
JAHIKO010000036.1_8,PF14520.9
JAHIKO010000037.1_5,PF02592.18
JAHIKO010000037.1_9,PF01520.21
JAHIKO010000039.1_1,PF00924.21
JAHIKO010000001.1_4,PF01243.23
JAHIKO010000042.1_5,PF00005.30
JAHIKO010000043.1_10,PF13103.9
JAHIKO010000044.1_8,PF03840.17
JAHIKO010000083.1_2,PF01695.20
JAHIKO010000051.1_3,PF03553.17
JAHIKO010000051.1_24,PF13083.9
JAHIKO010000051.1_31,PF02875.24
JAHIKO010000057.1_31,PF01084.23
JAHIKO010000060.1_18,PF00828.22
JAHIKO010000060.1_34,PF00276.23
JAHIKO010000060.1_36,PF00297.25
JAHIKO010000008.1_4,PF00793.23
JAHIKO010000062.1_17,PF01408.25
JAHIKO010000064.1_1,PF07931.15
JAHIKO010000065.1_2,PF16494.8
JAHIKO010000065.1_4,PF03793.22
JAHIKO010000065.1_12,PF13576.9
JAHIKO010000066.1_3,PF00482.26
JAHIKO010000068.1_13,PF00398.23
JAHIKO010000070.1_19,PF01258.20
JAHIKO010000003.1_1,PF01783.26
JAHIKO010000003.1_2,PF00889.22
JAHIKO010000019.1_7,PF02588.18
JAHIKO010000019.1_27,PF00437.23
JAHIKO010000020.1_7,PF13443.9
JAHIKO010000022.1_24,PF03219.17
MNUO01000111.1_2,PF04909.17
MNUO01000093.1_4,PF01261.27
MNUO01000093.1_6,PF01261.27
MNUO01000093.1_24,PF01487.18
MNUO01000093.1_38,PF00330.23
MNUO01000065.1_2,PF04255.17
MNUO01000131.1_7,PF03773.16
MNUO01000131.1_16,PF14559.9
MNUO01000118.1_4,PF01467.29
MNUO01000052.1_14,PF04085.17
MNUO01000097.1_2,PF03687.16
MNUO01000049.1_18,PF04014.21
MNUO01000041.1_2,PF04365.16
MNUO01000115.1_11,PF01895.22
MNUO01000115.1_20,PF01261.27
MNUO01000011.1_16,PF02673.21
MNUO01000011.1_18,PF02386.19
MNUO01000027.1_6,PF05258.15
MNUO01000075.1_13,PF00953.24
MNUO01000108.1_24,PF01734.25
MNUO01000108.1_27,PF01497.21
MNUO01000046.1_9,PF00411.22
MNUO01000046.1_26,PF00252.21
MNUO01000046.1_38,PF00164.28
MNUO01000046.1_41,PF00466.23
MNUO01000124.1_16,PF00482.26
MNUO01000106.1_3,PF05800.14
MNUO01000071.1_5,PF02585.20
MNUO01000012.1_6,PF01261.27
MNUO01000062.1_11,PF01261.27
MNUO01000092.1_5,PF01939.19
MNUO01000053.1_11,PF01841.22
MNUO01000098.1_5,PF02401.21
MNUO01000039.1_8,PF00892.23
MNUO01000051.1_9,PF16949.8
MNUO01000123.1_13,PF00731.23
MNUO01000048.1_3,PF04909.17
MNUO01000048.1_5,PF04909.17
MNUO01000043.1_9,PF04015.15
MNUP01000032.1_19,PF02452.20
MNUP01000118.1_5,PF06445.18
MNUP01000120.1_12,PF02481.18
MNUP01000053.1_15,PF18739.4
MNUP01000148.1_5,PF01345.21
MNUP01000100.1_7,PF01041.20
MNUP01000123.1_29,PF01850.24
MNUP01000114.1_7,PF13401.9
MNUP01000075.1_28,PF01487.18
MNUP01000075.1_33,PF03780.16
MNUP01000101.1_8,PF02569.18
MNUP01000101.1_14,PF14489.9
MNUP01000101.1_23,PF09972.12
MNUP01000112.1_9,PF18912.3
MNUP01000110.1_1,PF13366.9
MNUP01000143.1_13,PF00359.25
MNUP01000060.1_20,PF02811.22
MNUP01000066.1_14,PF01261.27
MNUP01000066.1_19,PF05635.14
MNUP01000020.1_6,PF08859.14
MNUP01000020.1_19,PF01451.24
MNUP01000020.1_23,PF00293.31
MNUP01000029.1_6,PF04014.21
MNUP01000141.1_4,PF09918.12
MNUP01000078.1_8,PF05164.16
MNUP01000054.1_6,PF01345.21
MNUP01000047.1_1,PF01261.27
MNUP01000093.1_13,PF00892.23
MNUP01000109.1_5,PF01041.20
MNUP01000130.1_21,PF03091.18
MNUP01000073.1_10,PF00437.23
MNUP01000055.1_3,PF00528.25
MNUP01000087.1_4,PF00482.26
MNUP01000087.1_7,PF01797.19
MNUP01000087.1_10,PF02577.17
MNUP01000087.1_13,PF13366.9
MNUP01000088.1_8,PF03309.17
MNUP01000083.1_15,PF01261.27
MNUP01000127.1_6,PF01208.20
MNUP01000003.1_3,PF05402.15
MNUP01000017.1_6,PF02632.17
MNUP01000062.1_2,PF00313.25
MNUP01000050.1_4,PF07796.14
MNUP01000126.1_1,PF01041.20
MNUP01000105.1_6,PF00583.28
MNUP01000105.1_7,PF01408.25
MNUP01000006.1_5,PF01865.19
MNUP01000006.1_16,PF02081.18
DIWJ01000058.1_18,PF00171.25
DIWJ01000058.1_31,PF00860.23
DIWJ01000053.1_38,PF01292.23
DIWJ01000054.1_56,PF06050.16
DIWJ01000033.1_37,PF00202.24
DIWJ01000005.1_3,PF01578.23
DIWJ01000059.1_14,PF02001.19
DIWJ01000024.1_78,PF02130.20
DIWJ01000020.1_20,PF01966.25
DIWJ01000023.1_93,PF00072.27
DIWJ01000023.1_102,PF07963.15
DIWJ01000018.1_1,PF01314.21
DIWJ01000069.1_1,PF01709.23
DIWJ01000067.1_59,PF01326.22
DIWJ01000067.1_81,PF01641.21
DIWJ01000049.1_98,PF06808.15
DIWJ01000085.1_102,PF20081.2
DIWJ01000066.1_5,PF01813.20
DIWJ01000087.1_17,PF03480.16
DIWJ01000087.1_31,PF04342.15
DIWJ01000030.1_46,PF02615.17
DIWJ01000030.1_74,PF03480.16
DIWJ01000052.1_83,PF00831.26
DIWJ01000027.1_22,PF09424.13
DIWJ01000068.1_6,PF00582.29
DIWJ01000035.1_11,PF01648.23
DIWJ01000035.1_23,PF00582.29
JACRPW010000036.1_1,PF04313.17
JACRPW010000044.1_36,PF02357.22
JACRPW010000044.1_47,PF02021.20
JACRPW010000011.1_29,PF01402.24
JACRPW010000012.1_10,PF01058.25
JACRPW010000075.1_6,PF01597.22
JACRPW010000081.1_13,PF01568.24
JACRPW010000076.1_26,PF03150.17
JACRPW010000080.1_5,PF09516.13
JACRPW010000088.1_3,PF01930.20
JACRPW010000099.1_14,PF04255.17
JACRPW010000099.1_18,PF01527.23
JACRPW010000031.1_3,PF01551.25
JACRPW010000034.1_24,PF01176.22
JACRPW010000002.1_7,PF00203.24
NZ_CP015455.1_239,PF01497.21
NZ_CP015455.1_408,PF20419.1
NZ_CP015455.1_415,PF01168.23
NZ_CP015455.1_453,PF00266.22
NZ_CP015455.1_551,PF04102.15
NZ_CP015455.1_630,PF18905.3
NZ_CP015455.1_648,PF00202.24
NZ_CP015455.1_833,PF00290.23
NZ_CP015455.1_879,PF00091.28
NZ_CP015455.1_976,PF02579.20
NZ_CP015455.1_1027,PF04413.19
NZ_CP015455.1_1110,PF14346.9
NZ_CP015455.1_1113,PF06865.14
NZ_CP015455.1_1183,PF01649.21
NZ_CP015455.1_1287,PF02604.22
NZ_CP015455.1_1503,PF01558.21
NZ_CP015455.1_1567,PF13366.9
NZ_CP015455.1_1738,PF02308.19
NZ_CP015455.1_2198,PF00248.24
NZ_CP015455.1_2399,PF01966.25
NZ_CP015455.1_2738,PF00753.30
NZ_CP015455.1_2996,PF02602.18
NC_007759.1_53,PF00892.23
NC_007759.1_138,PF14312.9
NC_007759.1_140,PF00696.31
NC_007759.1_194,PF00809.25
NC_007759.1_272,PF00573.25
NC_007759.1_301,PF00572.21
NC_007759.1_328,PF01814.26
NC_007759.1_907,PF04545.19
NC_007759.1_1241,PF03748.17
NC_007759.1_1252,PF10135.12
NC_007759.1_1656,PF03330.21
NC_007759.1_1871,PF02915.20
NC_007759.1_2151,PF02653.19
NC_007759.1_2213,PF00496.25
NC_007759.1_2247,PF01558.21
NC_007759.1_2401,PF06082.14
NC_007759.1_2480,PF02033.21
NC_007759.1_2542,PF00929.27
NC_007759.1_2714,PF03773.16
NC_007759.1_2789,PF02424.18
JADBKU010000001.1_18,PF03740.16
JADBKU010000001.1_78,PF00301.23
JADBKU010000001.1_111,PF00155.24
JADBKU010000001.1_128,PF02596.18
JADBKU010000016.1_22,PF04402.17
JADBKU010000016.1_24,PF01988.22
JADBKU010000016.1_44,PF00440.26
JADBKU010000017.1_15,PF00440.26
JADBKU010000019.1_19,PF03739.17
JADBKU010000002.1_14,PF00753.30
JADBKU010000020.1_79,PF07927.15
JADBKU010000022.1_22,PF11769.11
JADBKU010000023.1_89,PF01969.20
JADBKU010000023.1_156,PF07690.19
JADBKU010000025.1_13,PF02470.23
JADBKU010000025.1_51,PF00701.25
JADBKU010000028.1_15,PF05762.17
JADBKU010000028.1_16,PF04773.16
JADBKU010000028.1_37,PF04199.16
JADBKU010000028.1_76,PF03320.16
JADBKU010000028.1_132,PF08811.14
JADBKU010000003.1_27,PF01066.24
JADBKU010000030.1_42,PF09374.13
JADBKU010000032.1_10,PF07690.19
JADBKU010000032.1_63,PF00471.23
JADBKU010000032.1_80,PF02405.19
JADBKU010000033.1_15,PF00290.23
JADBKU010000034.1_29,PF00296.23
JADBKU010000037.1_50,PF03631.18
JADBKU010000004.1_68,PF13577.9
JADBKU010000040.1_7,PF09656.13
JADBKU010000042.1_15,PF03840.17
JADBKU010000005.1_45,PF12728.10
JADBKU010000052.1_2,PF07044.14
JADBKU010000057.1_3,PF09957.12
JADBKU010000006.1_142,PF08875.14
JADBKU010000008.1_12,PF00535.29
JADBKU010000009.1_31,PF02417.18
JADBKU010000009.1_51,PF00528.25
JADBKU010000009.1_90,PF00430.21
DLYX01000635.1_12,PF00202.24
DLYX01000051.1_1,PF00392.24
DLYX01000464.1_1,PF00300.25
DLYX01000400.1_2,PF00293.31
DLYX01000559.1_5,PF00300.25
DLYX01000583.1_2,PF19328.2
DLYX01000144.1_7,PF00488.24
DLYX01000408.1_1,PF01855.22
DLYX01000205.1_2,PF00202.24
DLYX01000570.1_2,PF00144.27
DLYX01000017.1_3,PF01699.27
DLYX01000412.1_1,PF13191.9
DLYX01000137.1_3,PF10604.12
DLYX01000050.1_2,PF00144.27
DLYX01000028.1_3,PF02698.20
DLYX01000178.1_1,PF07715.18
DLYX01000336.1_1,PF14306.9
DLYX01000495.1_3,PF20009.2
DLYX01000561.1_2,PF07394.15
DLYX01000362.1_3,PF19289.2
DLYX01000350.1_3,PF02580.19
DLYX01000444.1_4,PF00162.22
DLYX01000515.1_6,PF09335.14
DLYX01000092.1_4,PF13340.9
DLYX01000411.1_4,PF07396.14
DLYX01000581.1_1,PF01804.21
DLYX01000216.1_5,PF01625.24
DLYX01000277.1_1,PF02515.20
DLYX01000123.1_7,PF04367.16
DLYX01000393.1_4,PF19554.2
DLYX01000082.1_3,PF01145.28
DLYX01000311.1_2,PF01464.23
DLYX01000623.1_3,PF00440.26
DLYX01000590.1_2,PF01648.23
DLYX01000190.1_4,PF00471.23
PKTT01000062.1_38,PF07796.14
PKTT01000053.1_13,PF00571.31
PKTT01000033.1_13,PF00180.23
PKTT01000061.1_12,PF00072.27
PKTT01000057.1_4,PF00164.28
PKTT01000015.1_3,PF00831.26
PKTT01000043.1_21,PF02092.20
PKTT01000007.1_10,PF02775.24
PKTT01000007.1_44,PF03977.16
PKTT01000021.1_3,PF01694.25
PKTT01000021.1_48,PF02677.17
PKTT01000021.1_55,PF00625.24
PKTT01000035.1_14,PF07963.15
PKTT01000035.1_17,PF00437.23
PKTT01000036.1_31,PF00682.22
PKTT01000036.1_35,PF04069.15
PKTT01000006.1_9,PF01618.19
PKTT01000006.1_88,PF04187.16
PKTT01000065.1_2,PF03109.19
PKTT01000065.1_33,PF11306.11
PKTT01000029.1_37,PF03884.17
PKTT01000038.1_3,PF00344.23
PKTT01000016.1_16,PF02472.19
PKTT01000016.1_19,PF02548.18
PKTT01000018.1_28,PF02660.18
PKTT01000018.1_31,PF03320.16
PKTT01000009.1_66,PF02609.19
PKTT01000009.1_75,PF06089.15
PKTT01000009.1_105,PF04290.15
PKTT01000009.1_124,PF04172.19
PKTT01000066.1_9,PF00496.25
PKTT01000050.1_11,PF05683.15
PKTT01000055.1_16,PF00528.25
PKTT01000052.1_19,PF12838.10
PKTT01000023.1_11,PF00990.24
PKTT01000003.1_103,PF12224.11
DSCM01000096.1_39,PF10150.12
DSCM01000096.1_49,PF02915.20
DSCM01000096.1_64,PF00180.23
DSCM01000051.1_74,PF03279.16
DSCM01000102.1_62,PF00497.23
DSCM01000080.1_26,PF08241.15
DSCM01000089.1_18,PF13517.9
DSCM01000006.1_12,PF01242.22
DSCM01000006.1_44,PF10052.12
DSCM01000007.1_42,PF00581.23
DSCM01000036.1_44,PF02085.19
DSCM01000038.1_3,PF01578.23
DSCM01000083.1_12,PF01883.22
DSCM01000020.1_20,PF00271.34
DSCM01000117.1_16,PF01966.25
DSCM01000117.1_22,PF04055.24
DSCM01000117.1_34,PF01195.22
DSCM01000032.1_35,PF00300.25
DSCM01000023.1_14,PF01425.24
DSCM01000132.1_15,PF03968.17
DSCM01000012.1_16,PF00343.23
DSCM01000060.1_17,PF03547.21
DSCM01000140.1_12,PF00990.24
DSCM01000010.1_10,PF02386.19
DSCM01000092.1_5,PF04961.15
DSCM01000109.1_2,PF04361.16
DSCM01000056.1_2,PF07690.19
DSCM01000029.1_10,PF03781.19
DSCM01000119.1_8,PF07690.19
DSCM01000073.1_10,PF01895.22
DSCM01000026.1_10,PF00146.24
DSCM01000026.1_16,PF01058.25
DSCM01000084.1_7,PF00687.24
DSCM01000084.1_11,PF03143.20
DSCM01000057.1_7,PF02618.19
DSCM01000075.1_7,PF00499.23
DSCM01000042.1_8,PF00278.25
DSCM01000009.1_4,PF02674.19
DSCM01000139.1_4,PF02617.20
DSCM01000134.1_9,PF00348.20
DSCM01000126.1_5,PF09721.13
DSCM01000043.1_1,PF00571.31
DSCM01000128.1_5,PF02441.22
LDXN01000001.1_64,PF01145.28
LDXN01000001.1_72,PF00698.24
LDXN01000001.1_105,PF00005.30
LDXN01000001.1_121,PF00507.22
LDXN01000002.1_19,PF04343.16
LDXN01000002.1_27,PF02261.19
LDXN01000002.1_35,PF14067.9
LDXN01000002.1_56,PF02381.21
LDXN01000002.1_77,PF00296.23
LDXN01000002.1_84,PF00285.24
LDXN01000003.1_22,PF01935.20
LDXN01000005.1_1,PF00582.29
LDXN01000005.1_42,PF00582.29
LDXN01000006.1_29,PF02163.25
LDXN01000008.1_47,PF01875.20
LDXN01000008.1_68,PF01797.19
LDXN01000011.1_7,PF01875.20
LDXN01000011.1_9,PF01075.20
LDXN01000011.1_51,PF13511.9
LDXN01000013.1_10,PF02350.22
LDXN01000014.1_44,PF04205.17
LDXN01000015.1_2,PF07885.19
LDXN01000016.1_21,PF01152.24
LDXN01000016.1_37,PF07876.15
LDXN01000017.1_32,PF01066.24
LDXN01000017.1_36,PF13083.9
LDXN01000018.1_28,PF00730.28
LDXN01000019.1_19,PF09822.12
LDXN01000020.1_21,PF02146.20
LDXN01000021.1_32,PF00581.23
LDXN01000022.1_4,PF13298.9
LDXN01000022.1_29,PF00551.22
LDXN01000022.1_37,PF01618.19
LDXN01000024.1_6,PF00871.20
LDXN01000025.1_26,PF00573.25
LDXN01000027.1_3,PF02310.22
LDXN01000028.1_22,PF00430.21
LDXN01000028.1_23,PF00213.21
LDXN01000029.1_15,PF01850.24
LDXN01000030.1_7,PF00359.25
LDXN01000031.1_1,PF07681.15
LDXN01000031.1_33,PF01844.26
LDXN01000034.1_8,PF00171.25
LDXN01000035.1_1,PF05973.17
LDXN01000038.1_13,PF01933.21
LDXN01000040.1_6,PF20565.1
LDXN01000040.1_13,PF01195.22
LDXN01000041.1_14,PF00885.22
LDXN01000048.1_11,PF01012.24
LDXN01000048.1_18,PF01797.19
LDXN01000052.1_4,PF07963.15
LDXN01000053.1_3,PF00248.24
LDXN01000054.1_1,PF01790.21
LDXN01000060.1_7,PF07617.14
LDXN01000062.1_3,PF01008.20
LDXN01000062.1_7,PF01425.24
LDXN01000065.1_2,PF00825.21
LDXN01000065.1_5,PF13453.9
LDXN01000082.1_7,PF03625.17
CP046180.1_24,PF01507.22
CP046180.1_25,PF01384.23
CP046180.1_65,PF01220.22
CP046180.1_89,PF00108.26
CP046180.1_151,PF00830.22
CP046180.1_156,PF04784.17
